Date,Investment,Transaction Type,Amount,Shares/Unit,Purchase Price,Shares,Type
8/2/2013,PVADX,ADMINISTRATIVE FEES,-13.66,-0.397,34.40806045,0.397,sell
11/23/2012,FSEVX,ADMINISTRATIVE FEES,-2.37,-0.06,39.5,0.06,sell
11/23/2012,ORIYX,ADMINISTRATIVE FEES,-4.66,-0.154,30.25974026,0.154,sell
11/23/2012,GGOIX,ADMINISTRATIVE FEES,-2.35,-0.092,25.54347826,0.092,sell
11/23/2012,FRESX,ADMINISTRATIVE FEES,-8.2,-0.263,31.17870722,0.263,sell
11/23/2012,FIGRX,ADMINISTRATIVE FEES,-12.18,-0.376,32.39361702,0.376,sell
11/23/2012,FFFFX,ADMINISTRATIVE FEES,-7.91,-0.958,8.256784969,0.958,sell
11/23/2012,NYVTX,ADMINISTRATIVE FEES,-10.86,-0.303,35.84158416,0.303,sell
11/23/2012,RMCVX,ADMINISTRATIVE FEES,-5.48,-0.664,8.253012048,0.664,sell
11/23/2012,PVADX,ADMINISTRATIVE FEES,-11.66,-0.391,29.82097187,0.391,sell
11/23/2012,RBGLX,ADMINISTRATIVE FEES,-12.8,-0.907,14.11245865,0.907,sell
2/2/2012,FSEVX,ADMINISTRATIVE FEES,-0.71,-0.018,39.44444444,0.018,sell
2/2/2012,GGOIX,ADMINISTRATIVE FEES,-0.71,-0.03,23.66666667,0.03,sell
2/2/2012,FCPGX,ADMINISTRATIVE FEES,-1.44,-0.089,16.17977528,0.089,sell
2/2/2012,FRESX,ADMINISTRATIVE FEES,-2.41,-0.081,29.75308642,0.081,sell
2/2/2012,FIGRX,ADMINISTRATIVE FEES,-3.57,-0.12,29.75,0.12,sell
2/2/2012,FFFFX,ADMINISTRATIVE FEES,-2.35,-0.301,7.80730897,0.301,sell
2/2/2012,NYVTX,ADMINISTRATIVE FEES,-3.24,-0.094,34.46808511,0.094,sell
2/2/2012,RMCVX,ADMINISTRATIVE FEES,-1.64,-0.209,7.846889952,0.209,sell
2/2/2012,PVADX,ADMINISTRATIVE FEES,-3.53,-0.12,29.41666667,0.12,sell
2/2/2012,RBGLX,ADMINISTRATIVE FEES,-3.98,-0.287,13.86759582,0.287,sell
11/16/2011,FSEVX,ADMINISTRATIVE FEES,-0.65,-0.018,36.11111111,0.018,sell
11/16/2011,GGOIX,ADMINISTRATIVE FEES,-0.64,-0.027,23.7037037,0.027,sell
11/16/2011,FCPGX,ADMINISTRATIVE FEES,-1.31,-0.087,15.05747126,0.087,sell
